频道	liveId	liveSid	LiveName	LiveDesc	正在观看	Count
MC	1446413771	95247277	【１＋】丶阳阳 【高迪没分手吧？】	【１＋】【菏泽代言人】  阳    阳我们每天早上十点晚上九点半	517	1
MC	62922347	30334200	多元音乐-DJ弈【视频主播】	   多 元 音 乐   DJ 弈   直 播 间   	1364	1
MC	827099057	36706601	成都雨朵 可爱小猪	257419雨 朵  世界那么大 能遇见不容易	550	1
MC	123201221	62536556	【帝王】Mc博羽  携爱宠壮壮为了导航~	【帝王】Mc博羽-携萌宠壮壮-每天中午十一点，晚上7点-打卡-点心-感谢支持	954	1
MC	437179825	49545054	?胖家军??安徽小胖。我回来了！	【振兴传媒】 安徽-小胖  招聘才艺美女主播及主播管理Y群：９７００７１４	130	1
MC	21305218	69720151	[栖成955]?豆　芽?右键关注	【栖成955】 ?豆　芽?   只要你不走。只要我还在。不变初心。	479	1
MC	1365526939	31624123	『天音3135』孤 义 好好直播	『天音3135』新主播 孤义  秒榜送vp.一组520卡皇	7	1
舞蹈	1435236497	29883991	YY舞型舞秀-漠橙兮	【994频道】舞型舞秀	1257	1
舞蹈	1221239679	95083236	28792 yoyo 尊师毕加索	?性感萌女神yoyo? 关注新浪微博：yoyo211yy	9278	1
舞蹈	147371338	99109005	★．星之舟★猫猫小美人~早上10点直播~	★．星之舟~猫猫小美人★直播时间上午10-12点，下午3-6点，晚上9-11点?	369	1
舞蹈	1105083104	38306125	PL 小乔~求照相机~跳舞啦！~	清纯佳人小乔	8757	1
舞蹈	944186248	10980731	╰★°? 媚儿热舞*嗨歌 求保护	热舞旋风-媚儿	5344	1
舞蹈	1333118356	57060651	?．余小蔓  求守护	?．热舞 余小蔓 求秒榜求守护：招聘主播Y群 ：9997799	1845	1
舞蹈	1361890303	42238731	゛星火灬玉哥儿-求铁粉	搞笑舞蹈大PK	4797	1
舞蹈	799792290	25855369	─╄OvЁ蓝雨丶Yuki  求蓝色妖姬！	甜美Yuki，性感热舞	3546	1
舞蹈	1436821109	26576959	【Ａ one】? 性感小婷婷， 招收主持	【Ａ one】?福建热舞伊小婷直播时间凌晨4点-12点，招主播微信yy30034	3520	1
舞蹈	1230313496	92728182	?．琉 夏ゞ尊师雅乐 没有保护神了	内蒙琉夏不是下流	7701	1
舞蹈	1084013644	10372050	莎莎 ~~大长腿萌萌哒~·~	嫦娥姐姐莎莎	3407	1
舞蹈	967418032	86451955	热舞小66求守护求陪伴，游客?小6么么哒	乱舞妞黑丝诱惑	5613	1
舞蹈	1046525483	87300341	福建萌舞小小芯，哲妹妹.招收主持	【Ａ one】?萌舞小芯芯直播间，招收优质主播联系微信yy30034	3710	1
舞蹈	1193429174	61152356	电眼圈圈我也有脾气	『魔力』DJ劲歌热舞－周小圈	995	1
舞蹈	1121807409	98728087	【話社】??懵奇奇 ?	清纯韩范小性感	2914	1
舞蹈	167744798	33511833	゛星火灬靓女朋友【韩舞女王】	女朋友火辣热舞	1536	1
舞蹈	1213693926	16126680	【领域}芽芽后宫、新人求关注	【领域】小牙仙芽芽丶188卡皇马 招聘主播Y群：5405555 	57	1
舞蹈	647813659	98962390	゛星火灬莫雨落	动感舞蹈炫酷对决	5993	1
